time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
,,30000,,,,0.7123156189918518,0.03778234231285751,0.70703125,0.2,0.0003,-5.259751996397972,140,0.7304463386535645,-0.1085466668009758,-0.0848851071757963,0.26517805,1.0,7.368554599999999
17,1.0,30720,1793,7.170177850000001,15,,,,,,,,,,,,,
17,1.0,32768,1913,7.264059939999998,16,0.6941713094711304,0.03402523248223588,0.74248046875,0.2,0.0003,-5.090263725817204,150,0.7468588352203369,-0.07371179014444351,-0.07095587353833252,0.31822866,,
17,1.0,34816,2033,7.35161802,17,0.6780163645744324,0.03566963604534976,0.747314453125,0.2,0.0003,-4.9435066163539885,160,0.7212250232696533,0.019100230187177658,-0.05758692112867721,0.33884233,,
17,1.0,36864,2153,7.41700759,18,0.6621155738830566,0.03365261887083761,0.757470703125,0.2,0.0003,-4.789472843706608,170,0.6934218406677246,-0.027684461325407028,-0.06011359337135218,0.40222204,,
17,1.0,38912,2273,7.482079439999998,19,0.6523760557174683,0.03391560006421059,0.761474609375,0.2,0.0003,-4.658150592446328,180,0.6701411008834839,-0.07795245945453644,-0.03849498117342591,0.42656213,,
,,40000,,,,0.6380922198295593,0.03168322084820829,0.775,0.2,0.0003,-4.537853138148785,190,0.6526538133621216,-0.07584048062562943,-0.03655326962325489,0.47961533,1.0,7.6669474
17,1.0,40960,2392,7.46738697,20,,,,,,,,,,,,,
17,1.0,43008,2512,7.580767009999999,21,0.6249305009841919,0.03089659385732375,0.77626953125,0.2,0.0003,-4.397462469339371,200,0.6228210926055908,-0.044243015348911285,-0.038353274093242365,0.45404816,,
17,1.0,45056,2631,7.55039869,22,0.6123104095458984,0.03144103568629362,0.779248046875,0.2,0.0003,-4.262414833903312,210,0.6143161058425903,-0.07383386045694351,-0.013005240805796348,0.45821053,,
17,1.0,47104,2750,7.62084967,23,0.5987292528152466,0.029392537829698993,0.78955078125,0.2,0.0003,-4.123107205331325,220,0.5851025581359863,-0.0874980241060257,-0.018721066223224624,0.5481241,,
17,1.0,49152,2869,7.68811495,24,0.5858520865440369,0.03063281226204708,0.799072265625,0.2,0.0003,-3.983710329979658,230,0.5072863101959229,-0.0646224319934845,-0.006674145091528772,0.5318459,,
,,50000,,,,0.5748876333236694,0.02904078329447657,0.80107421875,0.2,0.0003,-3.855377221107483,240,0.4571821093559265,-0.02005566656589508,0.019502267459756695,0.516723,1.0,7.9438162000000005
17,1.0,51200,2989,7.767643719999999,25,,,,,,,,,,,,,
17,1.0,53248,3108,7.774025889999999,26,0.5639154314994812,0.02628789485897869,0.807421875,0.2,0.0003,-3.727679653465748,250,0.4550028443336487,0.49860629439353943,0.05272436206432758,0.69779307,,
17,1.0,55296,3228,7.82682895,27,0.5510366559028625,0.028018127905670553,0.817626953125,0.2,0.0003,-3.600043073296547,260,0.34759366512298584,0.03675909340381622,0.06693421571253566,0.8421602,,
17,1.0,57344,3348,7.850601490000002,28,0.5415828227996826,0.027859264155267738,0.83017578125,0.2,0.0003,-3.475880154967308,270,0.26066333055496216,0.07036824524402618,0.04837263335211901,0.82420415,,
17,1.0,59392,3467,7.845659140000001,29,0.5327848196029663,0.025070583872729913,0.8447265625,0.2,0.0003,-3.3687039613723755,280,0.23647010326385498,0.05640285462141037,0.0896780123890494,0.82961404,,
,,60000,,,,0.5239567756652832,0.025274913816247135,0.84541015625,0.2,0.0003,-3.2618423625826836,290,0.1928967833518982,0.02506280317902565,0.0916959663038142,0.93715507,1.0,7.9571082
17,1.0,61440,3586,7.85892164,30,,,,,,,,,,,,,
17,1.0,63488,3706,7.899926890000001,31,0.5148080587387085,0.023482472155592404,0.846923828125,0.2,0.0003,-3.1662239387631415,300,0.12292593717575073,0.050917670130729675,0.0683176691411063,0.9183717,,
17,1.0,65536,3826,7.89612218,32,0.5061731338500977,0.02374316922214348,0.854296875,0.2,0.0003,-3.071088160574436,310,0.07203847169876099,0.04521791264414787,0.11884303499391535,1.1032625,,
17,1.0,67584,3945,7.9032370300000006,33,0.5005882978439331,0.02385355456499383,0.846533203125,0.2,0.0003,-2.9880766324698924,320,0.07611429691314697,0.13658244907855988,0.06887829807237722,1.0659866,,
17,1.0,69632,4064,7.950127559999999,34,0.49536243081092834,0.023823025583988057,0.87392578125,0.2,0.0003,-2.9194238126277923,330,0.04993158578872681,0.06250771880149841,0.13987276739208027,1.3839002,,
,,70000,,,,0.49136167764663696,0.021249482646817343,0.872607421875,0.2,0.0003,-2.8600067511200904,340,0.028542757034301758,0.11542841792106628,0.11273331677657553,1.2360598,1.0,7.9028426
17,1.0,71680,4184,7.915585580000001,35,,,,,,,,,,,,,
17,1.0,73728,4304,7.92372853,36,0.48435431718826294,0.023711547255516052,0.872509765625,0.2,0.0003,-2.793298727273941,350,0.0226442813873291,0.07002585381269455,0.11884530815004837,1.5005549,,
17,1.0,75776,4424,7.954139540000001,37,0.48109906911849976,0.02096016158175189,0.884033203125,0.2,0.0003,-2.7283233985304833,360,0.01881331205368042,0.09386011213064194,0.14439803469576873,1.5577395,,
17,1.0,77824,4544,7.949540860000001,38,0.4741098880767822,0.023922779053100383,0.882373046875,0.2,0.0003,-2.67582014426589,370,-0.007728934288024902,0.05079372972249985,0.1530860750179272,1.9072137,,
17,1.0,79872,4664,7.927412359999997,39,0.47158685326576233,0.020249968307325616,0.916650390625,0.2,0.0003,-2.6356369607150554,380,2.5570392608642578e-05,0.1031060591340065,0.26755117159918884,2.5542579,,
,,80000,,,,0.4669009745121002,0.02558007618354168,0.900146484375,0.2,0.0003,-2.619279616326094,390,0.005630552768707275,0.1101391464471817,0.17371265377732925,2.0089521,1.0,8.012267000000001
17,1.0,81920,4784,7.9435043499999995,40,,,,,,,,,,,,,
17,1.0,83968,4904,7.94817659,41,0.464650958776474,0.022925547149498016,0.89423828125,0.2,0.0003,-2.590892470628023,400,-0.05642998218536377,0.06808488816022873,0.1560270887246588,1.8348414,,
17,1.0,86016,5023,7.95528146,42,0.46337890625,0.024716877890750766,0.890380859375,0.2,0.0003,-2.582703182846308,410,-0.0011067390441894531,0.08137483894824982,0.1731084465922322,1.3900414,,
17,1.0,88064,5143,7.97182637,43,0.4572021961212158,0.02379158926778473,0.8791015625,0.2,0.0003,-2.5389357902109624,420,0.010412037372589111,0.04806798696517944,0.11697580853360705,1.53916,,
,,90000,,,,0.45525723695755005,0.02013317452510819,0.899365234375,0.2,0.0003,-2.477866220474243,430,-0.008572697639465332,0.19565747678279877,0.18915880901913623,2.011584,1.0,7.8556128
17,1.0,90112,5263,7.95981307,44,,,,,,,,,,,,,
17,1.0,92160,5382,7.95954463,45,0.45019251108169556,0.022213697255938313,0.8857421875,0.2,0.0003,-2.4503273963928223,440,0.018116652965545654,0.15570606291294098,0.13353146810550243,1.2518625,,
17,1.0,94208,5501,7.97292276,46,0.44708195328712463,0.02203087393718306,0.88603515625,0.2,0.0003,-2.3970095850527287,450,0.024605751037597656,0.049455028027296066,0.1552749747323105,1.5759279,,
17,1.0,96256,5621,7.93348795,47,0.447894811630249,0.019978176543372684,0.91591796875,0.2,0.0003,-2.38646235242486,460,-0.018414735794067383,0.10625491291284561,0.21758833687053994,2.2742405,,
17,1.0,98304,5740,7.9474067999999995,48,0.4481298327445984,0.022824195816065186,0.908154296875,0.2,0.0003,-2.3957116208970546,470,-0.03223562240600586,0.05033119022846222,0.17654175841016695,2.0911427,,
,,100000,,,,0.4455684721469879,0.021713823309983126,0.89990234375,0.2,0.0003,-2.3924263224005697,480,-0.011618971824645996,0.07844894379377365,0.16204953835112973,1.5253885,1.0,8.002588800000002
17,1.0,100352,5859,7.96298326,49,,,,,,,,,,,,,
17,1.0,102400,5976,7.9633519999999995,50,0.4424688220024109,0.021381599971209652,0.897509765625,0.2,0.0003,-2.3625419214367867,490,0.0015963912010192871,0.0835895836353302,0.19083993926469703,2.0499594,,
