time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/std,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
161792,4.541369469999999,1.0,17,9486,79,,,,,,,,,,,,,
163840,4.47659621,1.0,17,9605,80,0.0003,3.1018624,0.9201171875,0.02720880158012733,790,0.0890965387225151,0.37908029556274414,0.1770969602803234,0.2,0.5591942071914673,-19.52704166173935,,
165888,4.50515799,1.0,17,9725,81,0.0003,4.791836,0.940087890625,0.027567849893239328,800,0.21004953980445862,0.408729612827301,0.23050240529119037,0.2,0.558422863483429,-19.482289534807204,,
167936,4.48117916,1.0,17,9844,82,0.0003,2.4697158,0.915234375,0.02890407885424793,810,0.15946613252162933,0.39352113008499146,0.16235686638974584,0.2,0.5565876960754395,-19.434260231256484,,
169984,4.542723059999999,1.0,17,9963,83,0.0003,2.7947712,0.920068359375,0.028706356015754865,820,0.036921653896570206,0.4011240005493164,0.1772061266907258,0.2,0.5544130802154541,-19.32096661925316,,
170000,,,,,,0.0003,2.9715023,0.91630859375,0.024640714121051132,830,0.1871173083782196,0.4359371066093445,0.1645637656765757,0.2,0.5531290173530579,-19.219835513830184,4.716900399999999,1.0
172032,4.484577410000001,1.0,17,10082,84,,,,,,,,,,,,,
174080,4.527651870000001,1.0,17,10201,85,0.0003,2.7737536,0.9140625,0.028926905000116677,840,0.10594926029443741,0.37925517559051514,0.1716293630801374,0.2,0.5519342422485352,-19.150823360681535,,
176128,4.553491709999999,1.0,17,10320,86,0.0003,2.814348,0.924755859375,0.026354229668504557,850,0.12187962979078293,0.4058123826980591,0.17638495413411875,0.2,0.5515716075897217,-19.117767989635468,,
178176,4.49131961,1.0,17,10439,87,0.0003,3.4126573,0.93232421875,0.025609801948303357,860,0.23222574591636658,0.39523524045944214,0.1993601609785401,0.2,0.5509567856788635,-19.107059103250503,,
180000,,,,,,0.0003,2.7413607,0.901611328125,0.027398163327598014,870,-0.004809346981346607,0.38540709018707275,0.13795109709899406,0.2,0.5480788946151733,-19.011631244421004,4.5610774,1.0
180224,4.51814972,1.0,17,10558,88,,,,,,,,,,,,,
182272,4.55007143,1.0,17,10676,89,0.0003,2.6140134,0.915234375,0.027300585241755472,880,0.08518429845571518,0.4191969037055969,0.1365853335155407,0.2,0.5465547442436218,-18.876747721433638,,
184320,4.540085000000001,1.0,17,10795,90,0.0003,3.371536,0.92744140625,0.02649695032159798,890,0.07006758451461792,0.44076478481292725,0.19060080138442573,0.2,0.5459349751472473,-18.79380664229393,,
186368,4.522100180000001,1.0,17,10914,91,0.0003,2.7737005,0.914013671875,0.02708750657911878,900,0.03818993270397186,0.3838574290275574,0.2565606126154307,0.2,0.5442935824394226,-18.727162063121796,,
188416,4.52039563,1.0,17,11033,92,0.0003,2.5623622,0.907080078125,0.025924718560418114,910,0.015940189361572266,0.39941734075546265,0.1586467635817826,0.2,0.5427471995353699,-18.620867466926576,,
190000,,,,,,0.0003,2.605393,0.912353515625,0.02730934557330329,920,0.10926860570907593,0.40307551622390747,0.14899596739851403,0.2,0.5401546955108643,-18.510003954172134,4.5384606000000005,1.0
190464,4.565694880000001,1.0,17,11152,93,,,,,,,,,,,,,
192512,4.54820939,1.0,17,11271,94,0.0003,2.8732615,0.90361328125,0.02759799754130654,930,0.07468713819980621,0.38283056020736694,0.2029368320130743,0.2,0.5391197204589844,-18.424730157852174,,
194560,4.53238859,1.0,17,11390,95,0.0003,4.591708,0.92822265625,0.027543691237224267,940,0.09533412754535675,0.37922465801239014,0.2818291986855911,0.2,0.538006603717804,-18.33630540370941,,
196608,4.52925085,1.0,17,11508,96,0.0003,3.2076793,0.925439453125,0.026750377024291082,950,0.09644030779600143,0.445792555809021,0.18768948887300213,0.2,0.537604808807373,-18.312311762571333,,
198656,4.54712526,1.0,17,11626,97,0.0003,2.7610304,0.896630859375,0.025342434979393147,960,0.09591313451528549,0.44165170192718506,0.12179824030899908,0.2,0.5358360409736633,-18.246891289949417,,
200000,,,,,,0.0003,2.672325,0.89013671875,0.025574782938929275,970,0.05003196746110916,0.4472757577896118,0.12840320338727906,0.2,0.5336238741874695,-18.147881150245667,4.698424,1.0
200704,4.527518989999999,1.0,17,11746,98,,,,,,,,,,,,,
202752,4.525768919999999,1.0,17,11864,99,0.0003,3.0281792,0.908935546875,0.02391929530131165,980,0.07197266817092896,0.4218326807022095,0.13092911565909163,0.2,0.5338311791419983,-18.097523909807204,,
