[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 15000 | dynL 0.321 polR -2.048e+01 | train C 1.47e-03 S 0.008 | EVAL C 1.309e-03 S 0.0083 | buf 200000 | 24499s
ep 15250 | dynL 0.321 polR -1.984e+01 | train C 1.24e-03 S 0.007 | EVAL C 1.462e-03 S 0.0082 | buf 200000 | 24919s
ep 15500 | dynL 0.320 polR -1.924e+01 | train C 1.42e-03 S 0.009 | EVAL C 1.523e-03 S 0.0088 | buf 200000 | 25339s
ep 15750 | dynL 0.320 polR -2.060e+01 | train C 1.52e-03 S 0.010 | EVAL C 1.345e-03 S 0.0087 | buf 200000 | 25740s
ep 16000 | dynL 0.318 polR -2.138e+01 | train C 1.23e-03 S 0.008 | EVAL C 1.242e-03 S 0.0095 | buf 200000 | 26161s
ep 16250 | dynL 0.318 polR -1.888e+01 | train C 1.35e-03 S 0.007 | EVAL C 1.317e-03 S 0.0088 | buf 200000 | 26559s
ep 16500 | dynL 0.316 polR -1.886e+01 | train C 1.34e-03 S 0.009 | EVAL C 1.265e-03 S 0.0082 | buf 200000 | 26981s
ep 16750 | dynL 0.315 polR -1.975e+01 | train C 1.29e-03 S 0.007 | EVAL C 1.182e-03 S 0.0060 | buf 200000 | 27398s
ep 17000 | dynL 0.315 polR -2.016e+01 | train C 1.46e-03 S 0.005 | EVAL C 1.498e-03 S 0.0067 | buf 200000 | 27833s
ep 17250 | dynL 0.315 polR -1.933e+01 | train C 1.46e-03 S 0.006 | EVAL C 1.494e-03 S 0.0086 | buf 200000 | 28239s
ep 17500 | dynL 0.314 polR -1.894e+01 | train C 1.45e-03 S 0.007 | EVAL C 1.409e-03 S 0.0094 | buf 200000 | 28676s
ep 17750 | dynL 0.313 polR -1.995e+01 | train C 1.23e-03 S 0.008 | EVAL C 1.383e-03 S 0.0079 | buf 200000 | 29094s
ep 18000 | dynL 0.310 polR -1.793e+01 | train C 1.58e-03 S 0.007 | EVAL C 1.569e-03 S 0.0073 | buf 200000 | 29525s
ep 18250 | dynL 0.309 polR -1.809e+01 | train C 1.41e-03 S 0.008 | EVAL C 1.483e-03 S 0.0093 | buf 200000 | 29939s
