name, memory.total [MiB]
Tesla V100-PCIE-32GB, 32768 MiB
[infogain] correction scale min 2.84e-09 max 4.62e-08 | probe scale (x0.1) min 2.84e-10 max 4.62e-09 | modes=55 action=110
[infogain] RESUMED from logs/po4ncpa_dynamic_scratch_t10/po4ncpa_infogain_best.pt
[infogain] reloaded replay buffer (200000 transitions) from logs/po4ncpa_dynamic_scratch_t10/replay_buffer.npz -> refill gate skipped, updates start immediately
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.5 explore_std_final=0.01
ep 23940 | dynL 0.549 polR 2.616e-01 info 1.947e-02 | train C 4.43e-05 S 0.992 | EVAL C 4.823e-05 S 0.9923 | buf 200000 | 23287s
ep 24192 | dynL 0.547 polR 2.959e-01 info 1.102e-02 | train C 7.06e-05 S 0.989 | EVAL C 5.134e-05 S 0.9920 | buf 200000 | 23531s
ep 24444 | dynL 0.547 polR 3.129e-01 info 1.270e-02 | train C 1.88e-05 S 0.997 | EVAL C 4.724e-05 S 0.9933 | buf 200000 | 23781s
ep 24696 | dynL 0.548 polR 2.602e-01 info 1.267e-02 | train C 3.66e-05 S 0.995 | EVAL C 4.838e-05 S 0.9932 | buf 200000 | 24032s
ep 24948 | dynL 0.549 polR 2.431e-01 info 3.428e-02 | train C 5.46e-05 S 0.992 | EVAL C 4.998e-05 S 0.9931 | buf 200000 | 24283s
ep 25200 | dynL 0.548 polR 3.029e-01 info 1.138e-02 | train C 4.29e-05 S 0.988 | EVAL C 5.359e-05 S 0.9929 | buf 200000 | 24529s
ep 25452 | dynL 0.548 polR 2.407e-01 info 2.192e-02 | train C 4.18e-05 S 0.993 | EVAL C 5.355e-05 S 0.9926 | buf 200000 | 24777s
ep 25704 | dynL 0.548 polR 2.553e-01 info 1.633e-02 | train C 5.88e-05 S 0.990 | EVAL C 5.489e-05 S 0.9921 | buf 200000 | 25024s
ep 25956 | dynL 0.549 polR 2.738e-01 info 2.375e-02 | train C 3.40e-05 S 0.995 | EVAL C 5.023e-05 S 0.9928 | buf 200000 | 25274s
ep 26208 | dynL 0.551 polR 2.869e-01 info 1.185e-02 | train C 5.56e-05 S 0.991 | EVAL C 5.102e-05 S 0.9927 | buf 200000 | 25517s
ep 26460 | dynL 0.549 polR 2.822e-01 info 1.766e-02 | train C 1.28e-04 S 0.985 | EVAL C 4.738e-05 S 0.9927 | buf 200000 | 25764s
ep 26712 | dynL 0.548 polR 2.632e-01 info 2.960e-02 | train C 2.52e-05 S 0.995 | EVAL C 4.851e-05 S 0.9925 | buf 200000 | 26014s
ep 26964 | dynL 0.550 polR 2.610e-01 info 1.789e-02 | train C 4.89e-05 S 0.994 | EVAL C 4.826e-05 S 0.9924 | buf 200000 | 26262s
ep 27216 | dynL 0.550 polR 2.582e-01 info 1.524e-02 | train C 2.13e-05 S 0.996 | EVAL C 4.754e-05 S 0.9929 | buf 200000 | 26513s
ep 27468 | dynL 0.550 polR 2.756e-01 info 1.563e-02 | train C 4.78e-05 S 0.989 | EVAL C 4.964e-05 S 0.9929 | buf 200000 | 26757s
ep 27720 | dynL 0.550 polR 2.555e-01 info 2.598e-02 | train C 8.12e-05 S 0.988 | EVAL C 4.931e-05 S 0.9924 | buf 200000 | 26999s
ep 27972 | dynL 0.550 polR 2.958e-01 info 1.346e-02 | train C 1.92e-05 S 0.993 | EVAL C 4.901e-05 S 0.9923 | buf 200000 | 27249s
ep 28224 | dynL 0.547 polR 2.533e-01 info 2.067e-02 | train C 4.41e-05 S 0.984 | EVAL C 5.064e-05 S 0.9924 | buf 200000 | 27501s
ep 28476 | dynL 0.549 polR 2.684e-01 info 1.614e-02 | train C 3.58e-05 S 0.995 | EVAL C 4.979e-05 S 0.9926 | buf 200000 | 27746s
ep 28728 | dynL 0.547 polR 2.347e-01 info 2.685e-02 | train C 7.24e-05 S 0.992 | EVAL C 5.028e-05 S 0.9925 | buf 200000 | 27993s
ep 28980 | dynL 0.549 polR 2.500e-01 info 1.508e-02 | train C 3.77e-05 S 0.995 | EVAL C 5.243e-05 S 0.9925 | buf 200000 | 28234s
ep 29232 | dynL 0.551 polR 3.102e-01 info 1.335e-02 | train C 7.59e-05 S 0.986 | EVAL C 5.225e-05 S 0.9918 | buf 200000 | 28480s
ep 29484 | dynL 0.551 polR 2.703e-01 info 1.728e-02 | train C 6.19e-05 S 0.991 | EVAL C 5.095e-05 S 0.9919 | buf 200000 | 28728s
ep 29736 | dynL 0.550 polR 2.670e-01 info 1.963e-02 | train C 2.85e-05 S 0.996 | EVAL C 5.091e-05 S 0.9915 | buf 200000 | 28978s
ep 29988 | dynL 0.552 polR 2.284e-01 info 2.943e-02 | train C 5.49e-05 S 0.988 | EVAL C 5.182e-05 S 0.9916 | buf 200000 | 29227s
[infogain] saved replay buffer (200000 transitions) -> logs/po4ncpa_dynamic_scratch2_t10/replay_buffer.npz (7.7s)
ep 30240 | dynL 0.551 polR 2.900e-01 info 1.449e-02 | train C 2.82e-05 S 0.990 | EVAL C 5.068e-05 S 0.9916 | buf 200000 | 29482s
ep 30492 | dynL 0.552 polR 2.413e-01 info 2.373e-02 | train C 5.03e-05 S 0.993 | EVAL C 4.972e-05 S 0.9924 | buf 200000 | 29727s
ep 30744 | dynL 0.549 polR 2.416e-01 info 2.197e-02 | train C 4.38e-05 S 0.993 | EVAL C 5.003e-05 S 0.9925 | buf 200000 | 29973s
ep 30996 | dynL 0.552 polR 2.441e-01 info 1.849e-02 | train C 4.52e-05 S 0.991 | EVAL C 5.011e-05 S 0.9920 | buf 200000 | 30216s
ep 31248 | dynL 0.551 polR 2.902e-01 info 1.534e-02 | train C 7.11e-05 S 0.990 | EVAL C 4.951e-05 S 0.9923 | buf 200000 | 30459s
ep 31500 | dynL 0.549 polR 2.834e-01 info 1.540e-02 | train C 8.52e-05 S 0.989 | EVAL C 5.012e-05 S 0.9922 | buf 200000 | 30708s
ep 31752 | dynL 0.553 polR 2.448e-01 info 1.919e-02 | train C 4.30e-05 S 0.991 | EVAL C 5.087e-05 S 0.9923 | buf 200000 | 30955s
ep 32004 | dynL 0.551 polR 2.765e-01 info 1.771e-02 | train C 1.86e-05 S 0.996 | EVAL C 5.019e-05 S 0.9922 | buf 200000 | 31199s
ep 32256 | dynL 0.550 polR 3.186e-01 info 1.228e-02 | train C 1.68e-05 S 0.996 | EVAL C 4.813e-05 S 0.9928 | buf 200000 | 31442s
ep 32508 | dynL 0.554 polR 2.698e-01 info 2.198e-02 | train C 4.89e-05 S 0.991 | EVAL C 4.754e-05 S 0.9930 | buf 200000 | 31685s
