[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep 19500 | dynL 0.201 polR 5.791e-01 | train C 1.25e-04 S 0.987 | EVAL C 2.480e-05 S 0.9967 | buf 200000 | 45989s
ep 19750 | dynL 0.201 polR 6.441e-01 | train C 4.83e-05 S 0.990 | EVAL C 2.028e-05 S 0.9972 | buf 200000 | 46603s
ep 20000 | dynL 0.200 polR 5.511e-01 | train C 5.15e-05 S 0.993 | EVAL C 2.399e-05 S 0.9967 | buf 200000 | 47214s
ep 20250 | dynL 0.199 polR 5.791e-01 | train C 5.08e-05 S 0.990 | EVAL C 2.173e-05 S 0.9965 | buf 200000 | 47827s
ep 20500 | dynL 0.198 polR 5.428e-01 | train C 1.12e-04 S 0.980 | EVAL C 1.550e-05 S 0.9972 | buf 200000 | 48419s
ep 20750 | dynL 0.199 polR 6.329e-01 | train C 5.95e-05 S 0.984 | EVAL C 1.835e-05 S 0.9972 | buf 200000 | 49032s
ep 21000 | dynL 0.197 polR 6.134e-01 | train C 5.52e-05 S 0.991 | EVAL C 1.990e-05 S 0.9969 | buf 200000 | 49636s
ep 21250 | dynL 0.197 polR 6.632e-01 | train C 7.08e-05 S 0.987 | EVAL C 1.981e-05 S 0.9974 | buf 200000 | 50249s
ep 21500 | dynL 0.197 polR 6.076e-01 | train C 6.78e-05 S 0.989 | EVAL C 1.395e-05 S 0.9974 | buf 200000 | 50866s
ep 21750 | dynL 0.196 polR 7.382e-01 | train C 3.22e-05 S 0.994 | EVAL C 2.307e-05 S 0.9966 | buf 200000 | 51479s
ep 22000 | dynL 0.194 polR 6.386e-01 | train C 1.57e-04 S 0.976 | EVAL C 1.616e-05 S 0.9976 | buf 200000 | 52096s
ep 22250 | dynL 0.194 polR 6.307e-01 | train C 7.93e-05 S 0.981 | EVAL C 1.508e-05 S 0.9978 | buf 200000 | 52707s
