[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 14250 | dynL 0.275 polR -5.431e-01 | train C 2.99e-03 S 0.985 | EVAL C 2.908e-03 S 0.9984 | buf 200000 | 22481s
ep 14500 | dynL 0.274 polR -5.220e-01 | train C 2.95e-03 S 0.994 | EVAL C 2.910e-03 S 0.9981 | buf 200000 | 22879s
ep 14750 | dynL 0.271 polR -5.499e-01 | train C 3.09e-03 S 0.977 | EVAL C 2.906e-03 S 0.9982 | buf 200000 | 23280s
ep 15000 | dynL 0.270 polR -5.674e-01 | train C 2.96e-03 S 0.992 | EVAL C 2.905e-03 S 0.9982 | buf 200000 | 23678s
ep 15250 | dynL 0.264 polR -5.914e-01 | train C 3.01e-03 S 0.983 | EVAL C 2.908e-03 S 0.9983 | buf 200000 | 24084s
ep 15500 | dynL 0.263 polR -4.894e-01 | train C 2.95e-03 S 0.994 | EVAL C 2.907e-03 S 0.9985 | buf 200000 | 24500s
ep 15750 | dynL 0.260 polR -5.902e-01 | train C 2.94e-03 S 0.993 | EVAL C 2.907e-03 S 0.9982 | buf 200000 | 24906s
ep 16000 | dynL 0.257 polR -5.630e-01 | train C 3.03e-03 S 0.992 | EVAL C 2.906e-03 S 0.9984 | buf 200000 | 25320s
ep 16250 | dynL 0.253 polR -4.983e-01 | train C 3.12e-03 S 0.984 | EVAL C 2.907e-03 S 0.9984 | buf 200000 | 25707s
ep 16500 | dynL 0.252 polR -5.640e-01 | train C 2.97e-03 S 0.993 | EVAL C 2.906e-03 S 0.9984 | buf 200000 | 26122s
ep 16750 | dynL 0.249 polR -4.665e-01 | train C 2.93e-03 S 0.994 | EVAL C 2.905e-03 S 0.9986 | buf 200000 | 26504s
ep 17000 | dynL 0.246 polR -5.589e-01 | train C 3.04e-03 S 0.983 | EVAL C 2.904e-03 S 0.9986 | buf 200000 | 26909s
ep 17250 | dynL 0.243 polR -5.337e-01 | train C 2.96e-03 S 0.994 | EVAL C 2.903e-03 S 0.9987 | buf 200000 | 27306s
ep 17500 | dynL 0.243 polR -4.654e-01 | train C 3.00e-03 S 0.991 | EVAL C 2.905e-03 S 0.9985 | buf 200000 | 27708s
ep 17750 | dynL 0.243 polR -5.349e-01 | train C 2.92e-03 S 0.997 | EVAL C 2.904e-03 S 0.9987 | buf 200000 | 28102s
