name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep 13860 | dynL 0.385 polR 1.615e-01 info 5.819e-02 | train C 7.78e-05 S 0.990 | EVAL C 3.297e-05 S 0.9963 | buf 110880 | 6621s
ep 14112 | dynL 0.382 polR 1.154e-01 info 6.288e-02 | train C 6.85e-05 S 0.988 | EVAL C 3.055e-05 S 0.9963 | buf 112896 | 6759s
ep 14364 | dynL 0.386 polR 1.984e-01 info 4.534e-02 | train C 6.46e-05 S 0.991 | EVAL C 2.800e-05 S 0.9963 | buf 114912 | 6896s
ep 14616 | dynL 0.382 polR 1.486e-01 info 9.386e-02 | train C 1.24e-04 S 0.988 | EVAL C 2.627e-05 S 0.9962 | buf 116928 | 7033s
ep 14868 | dynL 0.381 polR 1.406e-01 info 7.639e-02 | train C 7.59e-05 S 0.989 | EVAL C 2.609e-05 S 0.9955 | buf 118944 | 7171s
ep 15120 | dynL 0.383 polR 2.293e-01 info 6.168e-02 | train C 7.30e-05 S 0.992 | EVAL C 2.424e-05 S 0.9952 | buf 120960 | 7308s
ep 15372 | dynL 0.379 polR 1.911e-01 info 1.081e-01 | train C 5.24e-05 S 0.991 | EVAL C 2.174e-05 S 0.9957 | buf 122976 | 7446s
ep 15624 | dynL 0.380 polR 1.956e-01 info 9.402e-02 | train C 5.00e-05 S 0.991 | EVAL C 2.016e-05 S 0.9962 | buf 124992 | 7583s
ep 15876 | dynL 0.382 polR 2.351e-01 info 7.025e-02 | train C 7.73e-05 S 0.991 | EVAL C 1.891e-05 S 0.9964 | buf 127008 | 7720s
ep 16128 | dynL 0.378 polR 2.538e-01 info 6.980e-02 | train C 4.81e-05 S 0.993 | EVAL C 1.830e-05 S 0.9965 | buf 129024 | 7857s
ep 16380 | dynL 0.379 polR 1.969e-01 info 1.134e-01 | train C 7.73e-05 S 0.985 | EVAL C 1.817e-05 S 0.9968 | buf 131040 | 7995s
ep 16632 | dynL 0.379 polR 2.771e-01 info 7.846e-02 | train C 4.51e-05 S 0.989 | EVAL C 1.643e-05 S 0.9970 | buf 133056 | 8132s
ep 16884 | dynL 0.375 polR 3.002e-01 info 7.945e-02 | train C 9.25e-05 S 0.987 | EVAL C 1.644e-05 S 0.9969 | buf 135072 | 8268s
ep 17136 | dynL 0.377 polR 3.114e-01 info 6.348e-02 | train C 9.15e-05 S 0.989 | EVAL C 1.465e-05 S 0.9972 | buf 137088 | 8405s
ep 17388 | dynL 0.375 polR 3.703e-01 info 5.583e-02 | train C 8.25e-05 S 0.991 | EVAL C 1.481e-05 S 0.9974 | buf 139104 | 8543s
ep 17640 | dynL 0.371 polR 3.037e-01 info 1.158e-01 | train C 6.44e-05 S 0.992 | EVAL C 1.431e-05 S 0.9976 | buf 141120 | 8680s
ep 17892 | dynL 0.375 polR 2.993e-01 info 7.238e-02 | train C 6.16e-05 S 0.990 | EVAL C 1.344e-05 S 0.9978 | buf 143136 | 8817s
ep 18144 | dynL 0.375 polR 3.380e-01 info 9.638e-02 | train C 4.43e-05 S 0.993 | EVAL C 1.246e-05 S 0.9979 | buf 145152 | 8955s
ep 18396 | dynL 0.374 polR 3.557e-01 info 1.115e-01 | train C 2.85e-05 S 0.995 | EVAL C 1.162e-05 S 0.9978 | buf 147168 | 9092s
ep 18648 | dynL 0.371 polR 3.708e-01 info 6.607e-02 | train C 1.27e-04 S 0.981 | EVAL C 1.122e-05 S 0.9980 | buf 149184 | 9229s
ep 18900 | dynL 0.371 polR 4.492e-01 info 5.314e-02 | train C 6.02e-05 S 0.991 | EVAL C 1.160e-05 S 0.9980 | buf 151200 | 9367s
ep 19152 | dynL 0.373 polR 3.624e-01 info 6.776e-02 | train C 3.67e-05 S 0.994 | EVAL C 1.229e-05 S 0.9981 | buf 153216 | 9504s
ep 19404 | dynL 0.371 polR 3.864e-01 info 1.155e-01 | train C 6.28e-05 S 0.991 | EVAL C 1.102e-05 S 0.9981 | buf 155232 | 9641s
ep 19656 | dynL 0.370 polR 3.599e-01 info 9.005e-02 | train C 2.95e-05 S 0.995 | EVAL C 1.002e-05 S 0.9982 | buf 157248 | 9779s
ep 19908 | dynL 0.370 polR 3.538e-01 info 1.098e-01 | train C 3.13e-05 S 0.995 | EVAL C 9.417e-06 S 0.9982 | buf 159264 | 9915s
[infogain] saved replay buffer (160160 transitions) -> logs/po4ncpa_probe_logscratch/replay_buffer.npz (3.8s)
ep 20160 | dynL 0.370 polR 3.564e-01 info 1.012e-01 | train C 5.52e-05 S 0.993 | EVAL C 9.358e-06 S 0.9983 | buf 161280 | 10057s
ep 20412 | dynL 0.368 polR 4.078e-01 info 8.250e-02 | train C 3.76e-05 S 0.994 | EVAL C 9.181e-06 S 0.9983 | buf 163296 | 10195s
ep 20664 | dynL 0.369 polR 3.674e-01 info 1.798e-01 | train C 2.90e-05 S 0.996 | EVAL C 9.103e-06 S 0.9984 | buf 165312 | 10332s
